,idClient,Score,Age,Tenure,Games Balance,NumOfProducts,Cumulative score,Churn
0,2112,642,25,7,0.0,2,102083.78,0
1,2193,845,33,8,164385.53,1,150664.97,0
2,5350,684,32,3,102630.13,2,127433.47,0
3,8255,637,28,3,123675.69,1,166458.41,0
4,7422,634,36,1,0.0,1,143960.72,0
5,6057,768,25,6,0.0,2,21215.67,0
6,5890,727,31,2,52192.08,2,160383.47,0
7,5333,710,29,3,119670.18,1,188022.44,0
8,4499,570,30,2,131406.56,1,47952.45,0
9,2165,767,77,8,149083.7,1,190146.83,0
10,7152,442,34,4,0.0,2,68343.08,0
11,9382,765,45,2,91549.78,1,47139.44,0
12,7103,519,39,2,112957.26,2,97593.16,0
13,4856,490,33,5,96341.0,2,108313.34,0
14,984,614,35,6,128100.28,1,69454.24,1
15,2470,727,36,6,140418.81,1,113033.73,1
16,2262,763,61,1,66101.89,1,143981.27,0
17,2137,727,18,4,133550.67,1,46941.41,0
18,9624,573,47,8,154543.98,1,29586.73,0
19,8429,548,36,2,108913.84,2,140460.01,0
20,6133,687,34,9,125474.44,1,198929.84,0
21,9334,755,78,5,121206.96,1,76016.49,0
22,4186,675,35,8,0.0,2,29062.25,0
23,5134,479,37,6,118433.94,1,160060.9,0
24,6981,644,34,10,122196.99,2,182099.71,0
25,10,684,27,2,134603.88,1,71725.73,0
26,1367,645,37,7,0.0,2,13589.93,0
27,8002,707,32,9,0.0,2,126475.79,0
28,2332,508,28,0,96213.82,2,147913.56,0
29,1141,618,37,5,96652.86,1,98686.4,1
30,6961,673,39,7,82255.51,2,109545.56,0
31,3075,614,44,6,118715.86,1,133591.11,1
32,8690,542,67,10,129431.36,1,21343.74,0
33,8747,660,34,8,106486.66,2,182262.66,0
34,6359,652,32,2,0.0,2,54628.11,0
35,4638,758,30,3,141581.08,1,156249.06,0
36,5646,717,42,5,190305.78,1,99347.8,1
37,1609,574,39,2,122524.61,2,88463.63,0
38,3843,711,28,8,0.0,2,64286.39,0
39,3365,673,47,1,0.0,2,108762.16,0
40,3956,625,39,2,0.0,2,100403.05,0
41,2349,824,45,3,129209.48,1,60151.77,0
42,749,727,38,2,62276.99,1,59280.79,0
43,449,675,38,6,68065.8,1,138777.0,1
44,9582,850,28,9,0.0,2,164864.67,0
45,3567,746,25,3,104833.79,1,71911.3,0
46,1689,601,41,1,0.0,2,160607.06,0
47,8398,630,29,6,131354.39,1,9324.31,1
48,1700,696,31,8,122021.92,2,33828.64,0
49,1127,663,33,8,122528.18,1,196260.3,0
50,2697,698,40,0,92053.44,1,143681.83,0
51,5916,679,47,10,198546.1,2,191198.92,1
52,6942,501,25,6,104013.79,1,114774.35,0
53,6988,532,60,5,76705.87,2,13889.73,0
54,8217,704,41,4,109026.8,2,43117.1,0
55,6360,650,45,9,152367.21,3,150835.21,1
56,7858,850,27,6,96654.72,2,152740.16,0
57,2180,745,40,3,88466.82,1,116331.42,0
58,3991,708,32,10,86614.06,2,172129.26,0
59,8110,661,34,0,0.0,2,185555.63,0
60,2872,671,38,0,92674.94,2,3647.57,0
61,9123,689,29,1,77556.79,2,122998.26,0
62,8208,566,63,2,120787.18,2,52198.84,0
63,5249,669,39,3,119452.03,1,171575.54,0
64,4614,745,46,7,0.0,2,67769.94,0
65,7454,778,35,1,151958.19,3,131238.37,1
66,2909,494,69,9,93320.8,1,24489.44,0
67,2927,510,63,8,0.0,2,115291.86,0
68,5013,575,40,5,0.0,2,122488.59,0
69,15,635,35,7,0.0,2,65951.65,0
70,9508,808,41,0,0.0,1,79888.78,0
71,5571,569,35,2,109196.66,3,109393.19,1
72,7773,792,50,4,146710.76,1,16528.4,1
73,8791,416,35,8,0.0,1,119712.78,0
74,1111,713,52,0,185891.54,1,46369.57,1
75,3009,779,62,10,119096.55,1,116977.89,0
76,4468,538,31,1,0.0,2,1375.46,0
77,8682,565,40,2,0.0,2,129956.13,0
78,7447,718,35,3,97560.16,1,53511.74,0
79,3405,573,23,2,0.0,1,122964.18,0
80,5870,562,31,2,112708.2,1,186370.3,0
81,3082,693,29,2,151352.74,1,197145.89,0
82,9731,586,38,2,136858.42,1,189143.94,0
83,6375,503,38,1,0.0,2,95153.24,0
84,1718,707,35,3,56674.48,1,17987.4,1
85,3652,732,79,10,61811.23,1,104222.8,0
86,9631,716,31,8,109578.04,2,51503.51,0
87,2849,850,41,5,0.0,2,34827.43,0
88,1115,608,62,8,144976.5,1,175836.03,1
89,360,520,58,3,0.0,2,32790.02,0
90,541,833,37,8,151226.18,2,136129.49,0
91,5731,539,29,4,0.0,2,100919.19,0
92,6217,479,47,1,0.0,1,95270.83,0
93,7866,691,30,9,0.0,2,10963.04,0
94,8691,762,43,5,134204.67,1,139971.01,0
95,7578,615,43,3,86920.86,1,150048.37,0
96,6413,602,53,5,98268.84,1,45038.29,1
97,6289,689,40,8,160272.27,1,49656.24,0
98,418,556,39,9,89588.35,1,94898.1,0
99,9347,716,41,9,0.0,1,113267.48,0
100,1998,672,34,1,142151.75,2,168753.34,0
101,7352,654,34,5,0.0,2,159311.46,0
102,2155,606,65,10,126306.64,3,7861.68,1
103,7804,619,52,8,124099.13,1,23904.52,0
104,708,620,42,4,0.0,2,6232.31,0
105,16,616,45,3,143129.41,2,64327.26,0
106,6236,674,36,2,0.0,2,182787.17,0
107,6349,699,31,8,125927.51,2,147661.47,0
108,2712,608,28,9,0.0,2,125062.02,0
109,2916,489,52,1,131441.51,1,37240.11,1
110,8946,542,35,2,174894.53,1,22314.55,0
111,9163,665,63,7,104469.58,1,25165.36,1
112,3194,659,49,1,0.0,1,116249.72,1
113,1089,850,22,2,0.0,2,9684.52,0
114,4153,757,31,8,149085.9,2,197077.36,0
115,8458,541,32,8,0.0,2,40889.14,0
116,9580,821,45,0,135827.33,2,131778.58,0
117,5605,602,49,0,191808.73,1,97640.2,0
118,7612,751,38,7,0.0,2,90839.61,0
119,2421,593,46,7,98752.51,1,145560.38,0
120,4412,657,42,5,41473.33,1,112979.6,1
121,1995,705,49,7,0.0,1,63405.2,1
122,4819,752,36,1,86837.95,1,105280.55,0
123,1149,613,34,3,0.0,1,41724.72,0
124,3095,480,25,3,174330.35,2,181647.13,0
125,8697,504,34,0,54980.81,1,136909.88,0
126,3945,612,31,8,117989.76,1,54129.86,0
127,9057,765,46,8,119492.88,2,166896.01,1
128,7572,718,52,8,79475.3,3,32421.32,1
129,7055,769,38,6,0.0,2,104393.78,0
130,3510,777,37,1,0.0,1,126837.72,0
131,6049,707,36,6,0.0,1,98810.78,0
132,1728,676,36,4,0.0,2,3173.31,0
133,7540,755,42,2,119919.12,1,156868.21,0
134,1831,506,37,5,0.0,2,127543.81,0
135,5257,713,48,1,163760.82,1,157381.14,1
136,783,517,41,2,0.0,2,75937.47,0
137,6196,514,41,7,0.0,2,3756.65,0
138,3860,677,42,5,99580.13,1,21007.96,0
139,9374,641,36,1,0.0,2,102021.39,0
140,1514,440,42,2,0.0,2,49826.68,0
141,7211,648,28,9,102282.61,1,157891.11,0
142,1749,674,34,2,152797.9,1,175709.4,1
143,5764,724,32,6,0.0,2,150026.79,0
144,7830,572,36,8,68348.18,2,50400.32,0
145,2995,625,39,3,130786.92,1,121316.07,0
146,1425,603,42,8,91611.12,1,144675.3,1
147,7438,628,29,9,71996.29,1,34857.46,0
148,7908,683,39,2,47685.47,2,86019.48,0
149,929,520,61,8,133802.29,2,90304.01,0
150,1557,850,29,10,0.0,2,94815.04,0
151,3874,530,37,4,0.0,2,164844.37,0
152,2659,670,40,2,164948.98,3,177028.0,1
153,1801,713,59,3,0.0,2,62700.08,0
154,1673,513,37,6,0.0,2,110142.34,0
155,9135,481,40,3,0.0,1,32319.93,0
156,8623,706,36,9,58571.18,2,40774.01,0
157,7820,613,29,0,0.0,2,133897.32,0
158,5287,684,41,1,134177.06,1,177506.66,0
159,3357,687,41,10,134318.21,2,198064.52,0
160,9333,710,62,9,148214.36,1,48571.14,1
161,5336,651,39,8,0.0,1,137452.57,0
162,3966,748,23,8,85600.08,1,134077.71,0
163,3265,738,35,5,161274.05,2,181429.87,0
164,6805,692,30,7,0.0,2,18826.34,0
165,3770,698,47,5,156265.31,2,1055.66,0
166,5762,710,31,3,0.0,2,112289.06,0
167,2966,499,36,5,131142.53,2,174918.46,0
168,4663,652,58,6,0.0,2,170025.43,0
169,1208,752,30,4,81523.38,1,36885.85,0
170,4032,688,37,7,138162.41,2,113926.31,0
171,8121,523,45,5,0.0,2,121428.2,0
172,4126,692,49,9,0.0,2,178342.63,0
173,5200,782,27,3,0.0,2,143614.01,0
174,2887,449,37,6,0.0,2,82176.48,0
175,9838,750,38,5,151532.4,1,46555.15,0
176,8698,751,37,3,99773.85,2,54865.92,0
177,5310,684,36,5,174180.39,1,119830.08,0
178,2992,584,49,8,172713.44,1,113860.81,0
179,612,650,27,6,0.0,2,1002.39,0
180,8356,504,44,4,113522.64,1,12405.2,0
181,2645,736,27,5,51522.75,1,192131.77,0
182,3491,453,29,6,0.0,1,198376.02,1
183,5544,710,38,3,130588.82,1,154997.64,0
184,8376,565,38,7,145400.69,2,83844.79,0
185,5880,683,41,6,95696.52,2,184366.14,0
186,2960,530,25,9,162560.32,1,64129.03,0
187,8308,618,30,3,133844.22,1,31406.93,0
188,7143,612,63,2,131629.17,2,122109.58,1
189,3080,757,34,1,129398.01,2,44965.44,0
190,4731,619,38,1,0.0,1,112442.63,1
191,2925,499,29,6,148051.52,1,118623.94,0
192,3398,820,33,2,132150.26,2,23067.97,0
193,20,726,24,6,0.0,2,54724.03,0
194,3580,778,31,9,182275.23,2,190631.23,0
195,1826,770,45,4,110765.68,1,26163.74,1
196,6815,445,25,6,0.0,2,119425.94,0
197,9958,633,25,1,0.0,1,100598.98,0
198,9117,562,62,3,0.0,2,105986.01,0
199,1161,513,35,8,0.0,1,76640.29,1
200,4505,761,37,7,132730.17,1,199293.01,0
201,7417,583,36,8,0.0,2,5571.59,0
202,1274,474,33,5,0.0,2,181945.52,1
203,5256,799,63,1,110314.21,2,37464.0,1
204,5905,692,45,6,142084.04,4,188305.85,1
205,4046,687,36,5,0.0,1,17696.22,0
206,3506,640,45,1,0.0,1,10908.33,0
207,503,774,60,5,85891.55,1,74135.48,1
208,5663,703,40,7,0.0,2,122518.5,0
209,440,464,42,3,85679.25,1,164104.74,0
210,1012,719,35,3,122964.88,1,138231.7,0
211,8230,588,37,7,70258.88,2,139607.61,0
212,8567,679,39,4,0.0,1,172939.3,1
213,9861,775,30,10,191091.74,2,96170.38,0
214,5730,488,43,10,112751.13,1,28332.0,0
215,3503,735,46,2,106344.95,1,114371.33,1
216,2406,685,35,9,0.0,1,167033.83,0
217,2619,498,30,1,0.0,2,135795.53,0
218,3556,528,36,1,156948.41,1,149912.28,1
219,9888,684,24,8,143582.89,1,22527.27,0
220,5086,547,49,8,121537.71,2,46521.45,1
221,8405,586,47,5,157099.47,2,65481.86,0
222,7403,647,33,7,121260.19,2,77216.48,0
223,2440,566,42,6,0.0,1,180702.12,1
224,272,733,34,3,100337.96,3,48559.19,1
225,4506,709,30,5,0.0,2,161388.22,0
226,6561,577,32,1,0.0,2,9902.39,0
227,5930,699,32,3,0.0,2,170770.44,0
228,9970,609,41,6,0.0,1,112585.19,0
229,9776,780,26,3,140356.7,1,117144.15,0
230,3962,702,29,10,88378.6,1,88550.28,0
231,3051,791,44,5,0.0,2,123977.86,1
232,5389,574,54,1,99774.5,1,4896.11,1
233,1459,465,25,2,78247.31,2,10472.31,0
234,9353,667,40,8,72945.29,2,98931.5,0
235,5599,616,57,7,116936.81,1,104379.36,0
236,5218,724,28,5,97612.12,1,96498.14,0
237,3537,534,29,7,174851.9,1,79178.31,0
238,5318,700,37,1,135179.49,1,160670.37,0
239,3462,781,35,4,80790.74,1,116429.51,0
240,9704,682,43,7,111094.05,2,64679.3,0
241,5374,776,30,6,0.0,2,63908.86,0
242,5185,728,28,4,142243.54,2,33074.51,0
243,2259,466,36,5,119540.15,1,80603.99,0
244,7188,552,38,9,134105.01,1,57850.1,0
245,8902,586,51,2,138553.57,1,92406.22,0
246,7249,605,57,2,0.0,3,66652.75,1
247,2651,587,33,5,100116.82,1,34215.58,0
