,Score,Age,Cumulative score,Churn
0,642,25,102083.78,0
1,845,33,150664.97,0
2,684,32,127433.47,0
3,637,28,166458.41,0
4,634,36,143960.72,0
5,768,25,21215.67,0
6,727,31,160383.47,0
7,710,29,188022.44,0
8,570,30,47952.45,0
9,767,77,190146.83,0
10,442,34,68343.08,0
11,765,45,47139.44,0
12,519,39,97593.16,0
13,490,33,108313.34,0
14,614,35,69454.24,1
15,727,36,113033.73,1
16,763,61,143981.27,0
17,727,18,46941.41,0
18,573,47,29586.73,0
19,548,36,140460.01,0
20,687,34,198929.84,0
21,755,78,76016.49,0
22,675,35,29062.25,0
23,479,37,160060.9,0
24,644,34,182099.71,0
25,684,27,71725.73,0
26,645,37,13589.93,0
27,707,32,126475.79,0
28,508,28,147913.56,0
29,618,37,98686.4,1
30,673,39,109545.56,0
31,614,44,133591.11,1
32,542,67,21343.74,0
33,660,34,182262.66,0
34,652,32,54628.11,0
35,758,30,156249.06,0
36,717,42,99347.8,1
37,574,39,88463.63,0
38,711,28,64286.39,0
39,673,47,108762.16,0
40,625,39,100403.05,0
41,824,45,60151.77,0
42,727,38,59280.79,0
43,675,38,138777.0,1
44,850,28,164864.67,0
45,746,25,71911.3,0
46,601,41,160607.06,0
47,630,29,9324.31,1
48,696,31,33828.64,0
49,663,33,196260.3,0
50,698,40,143681.83,0
51,679,47,191198.92,1
52,501,25,114774.35,0
53,532,60,13889.73,0
54,704,41,43117.1,0
55,650,45,150835.21,1
56,850,27,152740.16,0
57,745,40,116331.42,0
58,708,32,172129.26,0
59,661,34,185555.63,0
60,671,38,3647.57,0
61,689,29,122998.26,0
62,566,63,52198.84,0
63,669,39,171575.54,0
64,745,46,67769.94,0
65,778,35,131238.37,1
66,494,69,24489.44,0
67,510,63,115291.86,0
68,575,40,122488.59,0
69,635,35,65951.65,0
70,808,41,79888.78,0
71,569,35,109393.19,1
72,792,50,16528.4,1
73,416,35,119712.78,0
74,713,52,46369.57,1
75,779,62,116977.89,0
76,538,31,1375.46,0
77,565,40,129956.13,0
78,718,35,53511.74,0
79,573,23,122964.18,0
80,562,31,186370.3,0
81,693,29,197145.89,0
82,586,38,189143.94,0
83,503,38,95153.24,0
84,707,35,17987.4,1
85,732,79,104222.8,0
86,716,31,51503.51,0
87,850,41,34827.43,0
88,608,62,175836.03,1
89,520,58,32790.02,0
90,833,37,136129.49,0
91,539,29,100919.19,0
92,479,47,95270.83,0
93,691,30,10963.04,0
94,762,43,139971.01,0
95,615,43,150048.37,0
96,602,53,45038.29,1
97,689,40,49656.24,0
98,556,39,94898.1,0
99,716,41,113267.48,0
100,672,34,168753.34,0
101,654,34,159311.46,0
102,606,65,7861.68,1
103,619,52,23904.52,0
104,620,42,6232.31,0
105,616,45,64327.26,0
106,674,36,182787.17,0
107,699,31,147661.47,0
108,608,28,125062.02,0
109,489,52,37240.11,1
110,542,35,22314.55,0
111,665,63,25165.36,1
112,659,49,116249.72,1
113,850,22,9684.52,0
114,757,31,197077.36,0
115,541,32,40889.14,0
116,821,45,131778.58,0
117,602,49,97640.2,0
118,751,38,90839.61,0
119,593,46,145560.38,0
120,657,42,112979.6,1
121,705,49,63405.2,1
122,752,36,105280.55,0
123,613,34,41724.72,0
124,480,25,181647.13,0
125,504,34,136909.88,0
126,612,31,54129.86,0
127,765,46,166896.01,1
128,718,52,32421.32,1
129,769,38,104393.78,0
130,777,37,126837.72,0
131,707,36,98810.78,0
132,676,36,3173.31,0
133,755,42,156868.21,0
134,506,37,127543.81,0
135,713,48,157381.14,1
136,517,41,75937.47,0
137,514,41,3756.65,0
138,677,42,21007.96,0
139,641,36,102021.39,0
140,440,42,49826.68,0
141,648,28,157891.11,0
142,674,34,175709.4,1
143,724,32,150026.79,0
144,572,36,50400.32,0
145,625,39,121316.07,0
146,603,42,144675.3,1
147,628,29,34857.46,0
148,683,39,86019.48,0
149,520,61,90304.01,0
150,850,29,94815.04,0
151,530,37,164844.37,0
152,670,40,177028.0,1
153,713,59,62700.08,0
154,513,37,110142.34,0
155,481,40,32319.93,0
156,706,36,40774.01,0
157,613,29,133897.32,0
158,684,41,177506.66,0
159,687,41,198064.52,0
160,710,62,48571.14,1
161,651,39,137452.57,0
162,748,23,134077.71,0
163,738,35,181429.87,0
164,692,30,18826.34,0
165,698,47,1055.66,0
166,710,31,112289.06,0
167,499,36,174918.46,0
168,652,58,170025.43,0
169,752,30,36885.85,0
170,688,37,113926.31,0
171,523,45,121428.2,0
172,692,49,178342.63,0
173,782,27,143614.01,0
174,449,37,82176.48,0
175,750,38,46555.15,0
176,751,37,54865.92,0
177,684,36,119830.08,0
178,584,49,113860.81,0
179,650,27,1002.39,0
180,504,44,12405.2,0
181,736,27,192131.77,0
182,453,29,198376.02,1
183,710,38,154997.64,0
184,565,38,83844.79,0
185,683,41,184366.14,0
186,530,25,64129.03,0
187,618,30,31406.93,0
188,612,63,122109.58,1
189,757,34,44965.44,0
190,619,38,112442.63,1
191,499,29,118623.94,0
192,820,33,23067.97,0
193,726,24,54724.03,0
194,778,31,190631.23,0
195,770,45,26163.74,1
196,445,25,119425.94,0
197,633,25,100598.98,0
198,562,62,105986.01,0
199,513,35,76640.29,1
200,761,37,199293.01,0
201,583,36,5571.59,0
202,474,33,181945.52,1
203,799,63,37464.0,1
204,692,45,188305.85,1
205,687,36,17696.22,0
206,640,45,10908.33,0
207,774,60,74135.48,1
208,703,40,122518.5,0
209,464,42,164104.74,0
210,719,35,138231.7,0
211,588,37,139607.61,0
212,679,39,172939.3,1
213,775,30,96170.38,0
214,488,43,28332.0,0
215,735,46,114371.33,1
216,685,35,167033.83,0
217,498,30,135795.53,0
218,528,36,149912.28,1
219,684,24,22527.27,0
220,547,49,46521.45,1
221,586,47,65481.86,0
222,647,33,77216.48,0
223,566,42,180702.12,1
224,733,34,48559.19,1
225,709,30,161388.22,0
226,577,32,9902.39,0
227,699,32,170770.44,0
228,609,41,112585.19,0
229,780,26,117144.15,0
230,702,29,88550.28,0
231,791,44,123977.86,1
232,574,54,4896.11,1
233,465,25,10472.31,0
234,667,40,98931.5,0
235,616,57,104379.36,0
236,724,28,96498.14,0
237,534,29,79178.31,0
238,700,37,160670.37,0
239,781,35,116429.51,0
240,682,43,64679.3,0
241,776,30,63908.86,0
242,728,28,33074.51,0
243,466,36,80603.99,0
244,552,38,57850.1,0
245,586,51,92406.22,0
246,605,57,66652.75,1
247,587,33,34215.58,0
248,616,41,236.45,1
249,655,72,99920.41,0
250,656,39,98894.64,0
251,807,28,156122.13,1
252,749,38,13549.34,0
253,555,21,103901.35,0
254,666,36,176692.87,0
255,722,30,166376.54,0
256,685,31,180769.55,0
257,473,39,85937.52,1
258,732,43,65731.53,0
259,850,55,171762.87,1
260,507,29,94780.9,0
261,725,46,161767.38,0
262,752,32,101677.46,0
263,676,49,79342.31,1
264,748,49,163550.58,1
265,748,40,132368.47,0
266,492,35,39519.53,0
267,487,31,158750.13,0
268,519,48,137959.0,0
269,559,52,129013.59,1
270,521,38,51454.06,0
271,700,29,152097.02,0
272,710,32,94790.34,0
273,558,31,166720.28,0
274,600,53,93629.66,1
275,468,42,125305.34,0
276,493,36,56092.51,0
277,787,25,47307.9,0
278,833,47,182247.77,0
279,777,46,487.3,0
280,755,30,62688.55,0
281,578,40,74965.61,1
282,557,39,115287.99,1
283,702,32,126082.18,0
284,682,27,166144.98,0
285,550,35,197325.4,0
286,514,32,95857.18,0
287,591,31,141677.33,0
288,749,28,3408.7,0
289,539,38,152880.07,1
290,686,41,106939.34,1
291,583,27,195732.04,0
292,622,23,131389.39,0
293,477,39,185830.72,0
294,708,23,103697.57,0
295,679,30,179435.21,0
296,554,31,192660.55,0
297,592,38,19370.73,0
298,673,51,172200.91,0
299,721,36,106977.8,0
300,549,55,116548.02,1
301,663,34,180427.24,0
302,746,25,88728.47,0
303,800,39,13906.34,0
304,665,27,187508.06,0
305,627,35,187718.26,0
306,652,30,152210.81,0
307,655,37,66214.13,0
308,542,34,144725.14,0
309,548,32,55867.38,0
310,611,37,125696.26,0
311,628,46,31272.14,1
312,508,31,129803.08,0
313,453,40,120373.84,1
314,635,37,11407.58,0
315,489,40,171867.08,0
316,666,74,46172.47,0
317,414,60,93844.82,0
318,501,57,47847.19,0
319,679,48,23344.94,0
320,786,39,100929.59,0
321,521,25,157878.67,0
322,606,35,186778.89,0
323,627,35,172269.21,1
324,567,29,109257.59,0
325,676,34,189540.95,0
326,747,38,89289.54,0
327,740,57,65121.63,1
328,688,35,25488.43,1
329,838,35,197305.91,0
330,721,45,59604.45,1
331,556,36,32044.64,0
332,743,34,108543.21,0
333,631,34,128247.03,0
334,511,31,161854.98,0
335,660,33,29664.45,0
336,614,31,46163.44,0
337,634,34,61995.57,0
338,805,46,162643.15,1
339,507,32,67926.18,0
340,775,51,134901.57,0
341,642,30,582.53,0
342,727,52,118429.02,0
343,608,37,21967.15,0
344,449,32,166692.03,0
345,716,39,76476.05,0
346,656,46,50595.15,1
347,724,35,167313.07,0
348,583,40,114093.73,0
349,750,33,71333.44,0
350,647,43,78488.39,0
351,809,24,183515.13,0
352,614,30,54776.64,0
353,583,48,60017.46,1
354,538,43,126933.73,0
355,705,44,68860.3,1
356,795,32,198317.23,0
357,708,21,50294.09,0
358,783,40,109742.55,0
359,744,44,82290.81,0
360,422,54,86350.97,0
361,665,44,66548.58,0
362,543,37,118059.19,0
363,742,60,13161.66,1
364,692,33,113505.93,1
365,625,31,90.07,0
366,598,27,84136.12,0
367,740,37,73225.31,0
368,565,44,89602.81,0
369,555,33,121789.3,0
370,632,49,140201.21,0
371,691,33,100408.31,0
372,550,33,103608.06,0
373,634,36,116238.39,0
374,722,35,125240.8,0
375,718,25,30380.12,0
376,697,38,49503.5,0
377,850,49,25867.67,1
378,597,40,151167.94,0
379,654,29,37065.66,0
380,644,48,44965.54,1
381,850,37,109291.22,0
382,670,65,177655.68,1
383,487,37,126722.57,0
384,571,30,145115.95,0
385,798,37,83478.12,0
386,678,43,111032.79,1
387,559,62,20367.68,0
388,445,64,43678.06,0
389,382,36,179540.73,1
390,713,43,130001.13,0
391,588,34,153727.32,0
392,647,35,40145.28,0
393,654,32,51972.92,1
394,598,40,68462.59,1
395,521,43,93180.09,0
396,833,28,5278.78,0
397,732,29,138527.56,0
398,639,43,187296.78,0
399,455,27,70774.97,0
400,626,48,95794.98,0
401,757,33,194239.63,0
402,850,36,40812.9,0
403,598,41,161954.43,0
404,668,59,50454.8,0
405,605,47,189310.27,0
406,603,46,86190.34,0
407,582,40,60954.45,0
408,639,38,81861.1,0
409,645,45,174916.85,1
410,681,30,68985.99,0
411,719,37,25803.59,1
412,474,30,63158.22,0
413,573,35,119924.8,0
414,681,57,131964.66,0
415,543,25,161407.48,0
416,517,29,103402.88,0
417,742,28,108457.99,1
418,612,26,179780.74,0
419,627,27,105887.04,0
420,583,40,109638.78,1
421,522,34,174248.52,1
422,671,34,156917.12,0
423,519,36,145562.4,0
424,631,29,18581.84,0
425,685,31,125777.28,0
426,539,24,198161.07,0
427,692,31,91829.17,1
428,694,33,178123.86,0
429,549,45,96404.38,0
430,666,21,99818.31,0
431,601,38,38020.05,0
432,551,59,159483.76,1
433,479,26,19116.97,0
434,718,49,184474.72,1
435,523,28,59938.81,0
436,603,38,191457.06,0
437,850,39,37090.44,0
438,633,26,60116.57,0
439,607,39,132741.13,1
440,682,36,147758.51,0
441,554,30,179689.05,1
442,850,45,60083.11,1
443,686,35,159676.55,0
444,625,51,92243.94,1
445,517,45,172674.36,1
446,664,57,15304.08,0
447,511,57,181258.76,0
448,554,44,58076.52,0
449,481,37,175082.2,0
450,791,35,161051.75,0
451,745,36,19605.18,1
452,762,35,178361.48,1
453,758,50,67944.09,1
454,712,33,3061.0,0
455,501,37,12470.3,0
456,705,39,54517.25,0
457,592,37,126726.33,0
458,536,40,11959.03,0
459,404,54,83715.66,1
460,681,32,59679.9,0
461,655,51,15801.02,0
462,652,38,145700.22,0
463,710,22,107292.91,0
464,627,44,82969.61,1
465,789,27,79458.12,0
466,549,36,83983.39,1
467,710,24,173276.62,0
468,468,22,28123.99,0
469,634,34,41820.65,0
470,697,33,172524.51,0
471,673,43,146992.24,1
472,675,38,22068.83,1
473,706,23,127187.04,0
474,544,45,151401.33,0
475,473,25,46758.42,0
476,655,34,51226.32,1
477,613,40,107961.11,1
478,739,36,133465.57,0
479,783,41,176945.96,0
480,530,34,141872.52,0
481,506,40,144345.58,0
482,652,27,146007.7,0
483,728,37,106977.53,1
484,545,53,180598.28,1
485,649,37,247.36,0
486,580,23,196241.43,0
487,605,35,45206.57,0
488,558,36,172363.52,0
489,697,25,128373.88,0
490,704,36,66810.48,0
491,521,40,18082.06,0
492,557,27,123096.56,0
493,850,32,121982.73,0
494,744,36,182867.84,0
495,603,55,139469.11,1
496,740,51,178929.84,0
497,621,30,165257.31,0
498,669,35,174969.92,0
499,567,29,156125.72,0
500,584,29,138490.03,0
501,806,25,18461.9,0
502,646,30,136983.77,0
503,662,33,68064.83,0
504,470,31,103792.53,0
505,699,53,111307.98,0
506,547,44,5459.07,1
507,579,49,123535.05,0
