model;ACC;Precision;Recall;F1;ROC;Jaccard
LogisticRegression;0.7921875;0.5348837209302325;0.08550185873605948;0.14743589743589744;0.5328597325332127;0.07958477508650519
LogisticRegression;0.7921875;0.5348837209302325;0.08550185873605948;0.14743589743589744;0.5328597325332127;0.07958477508650519
KNeighborsClassifier;0.7671875;0.3253012048192771;0.10037174721189591;0.1534090909090909;0.5224905224684603;0.08307692307692308
DecisionTreeClassifier;0.77734375;0.47183098591549294;0.49814126394052044;0.484629294755877;0.6748866557091326;0.3198090692124105
RandomForestClassifier;0.8609375;0.7898089171974523;0.46096654275092935;0.5821596244131456;0.7141627965980166;0.4105960264900662
BaggingClassifier;0.8375;0.6783625730994152;0.4312267657992565;0.5272727272727272;0.6884125916038816;0.35802469135802467
AdaBoostClassifier;0.84453125;0.6988636363636364;0.45724907063197023;0.5528089887640449;0.70241286370372;0.38198757763975155
GradientBoostingClassifier;0.85859375;0.7784810126582279;0.45724907063197023;0.5761124121779859;0.7113149408550554;0.40460526315789475
SVC;0.78984375;0.00.00.00.5;0.0
XGBClassifier;0.84765625;0.7126436781609196;0.46096654275092935;0.5598194130925509;0.7057552792884222;0.3887147335423197
VotingClassifier;0.85625;0.7672955974842768;0.45353159851301117;0.5700934579439252;0.708467085112094;0.39869281045751637
LinearDiscriminantAnalysis;0.8125;0.6593406593406593;0.22304832713754646;0.33333333333333337;0.5961928084748068;0.2
